Category,AttributeID,AttributeName,Description,Example,Comments,Necessity,fish & shark,turtle,mammal,bird,Proposed by,Other notes,CF 1.6 globals Mapping,ACCD 1.3 Mapping,class
animal,513,weight_type_recapture,Type of weight measurement,,"May need to compile a list of types and abbreviations: whole, dressed, gilled & gutted",optional,1,1,1,1,Tim Lam,Some edits/additions to the Necessity made by IATTC (from Recommended to Optional),,,character
animal,421,weight_unit_capture,Unit of weight measurement,pound,,optional,1,1,1,1,Tim Lam,Some edits/additions to the Necessity made by IATTC (from Recommended to Optional),,,character
animal,422,friendly_name,Friendly or public-facing name given to an individual tagged animal,Lydia,,optional,1,1,1,1,Camrin Braun,,,,character
animal,514,weight_unit_recapture,Unit of weight measurement,,,optional,1,1,1,1,Tim Lam,Some edits/additions to the Necessity made by IATTC (from Recommended to Optional),,,character
end_of_mission,600,time_coverage_end,End date time (yyyy-mm-dd hh:mm:ss) or date range (BETWEEN yyyy-mm-dd AND yyyy-mm-dd) if estimated/ guessed.,2017-07-11T18:24:23+00:00,http://en.wikipedia.org/wiki/ISO_8601,required,1,1,1,1,Tim Lam,,,time_coverage_end (Recommended),POSIXct
end_of_mission,601,end_details,,"GPS, Argos, estimated, calculated, modeled, recovered on animal, floater at sea, animal died and sank, recovered on land, recovered by fishing fleet, recovered in port, transfer in transshipment, found in well number X, recovered in processing plant",,required,1,1,1,1,Tim Lam,http://www.spc.int/TAGGING/en/publications/tagging-publications/viewcategory/13,,,character
end_of_mission,602,end_type,Description of how the end point is derived for the device.,"first reported, recaptured, last transmission, recovered",,required,1,1,1,1,Tim Lam,,,,character
end_of_mission,603,geospatial_lat_end,End latitude,,,required,1,1,1,1,Tim Lam,,,N/A:  geospatial_lat_max (Recommended),numeric
end_of_mission,604,geospatial_lon_end,End longitude,,,required,1,1,1,1,Tim Lam,,,N/A:  geospatial_lon_max (Recommended),numeric
end_of_mission,605,locationclass_end,Argos location class for popup location or satellite transmission,,,recommended,1,1,1,1,Tim Lam,,,,factor
end_of_mission,606,datetime_death,"If mortality occurs before end datetime, specify date time (yyyy-mm-dd hh:mm:ss)",2017-07-11T18:24:23+00:00,http://en.wikipedia.org/wiki/ISO_8601,optional,1,1,1,1,Tim Lam,,,,POSIXct
recovery,700,location_recapture,Name or standard identifer of location,,,recommended,1,1,1,1,Tim Lam,,,,character
recovery,701,method_recapture,Type of gear used to catch the animal,"Longline, purse seine, troll, trawl, rod and reel, handline, set net, trap, gillnet, harpoon, hoop net, anesthesia, tangle net, dip net, vertical line entanglement (commercial fisheries, aquaculture, mooring), dredge, pound net/weir (for turtles)",,recommended,1,1,1,1,Tim Lam,,,,character
recovery,702,person_recapture,Person responsible for the recapture,,"Name of angler, observer, scientist, fisher, beach comber etc.",recommended,1,1,1,1,Tim Lam,,,,character
recovery,703,baitlure_recapture,"Bait, chum, lure or decoy used",,Use brand name and/ product when possible,optional,1,0,-1,-1,Tim Lam,,,,character
recovery,704,cruise_recapture,Name or standard identifer of cruise,,,optional,1,1,1,1,Tim Lam,,,,character
recovery,705,depth_m_recapture,Depth (meters) at which the animal was caught,,Can use estimated depth from hook number on longline,optional,1,0,-1,-1,Tim Lam,,,,numeric
recovery,706,flag_capture,The vessel’s country of registration,,,optional,1,1,1,1,,,,,character
recovery,707,hook_recapture,Type of hook used,,Use brand name and/ product when possible.,optional,1,0,-1,-1,Tim Lam,,,,character
